PatentNo	Cited Patent No
6007442	5759124
6440946	5760013
6294832	5766692
6607984	5766692
5984662	5768886
5941063	5768886
6183877	5773733
6181231	5773870
6169320	5773870
6221727	5773870
6258688	5773870
6258652	5773870
6455915	5773870
5930637	5773870
6518165	5773870
6727570	5773870
6720229	5773870
6719394	5773870
6693039	5773870
6728119	5774351
6630751	5774351
6842355	5774351
6807073	5774351
6038147	5774351
6459779	5774351
6404658	5774351
6351401	5774351
6243275	5774351
6166932	5774351
6291348	5776425
6444580	5776425
6517901	5776425
6815736	5776793
6750151	5776793
5945355	5776835
6025274	5776835
6016120	5777578
6463366	5777578
6285320	5777578
6844856	5777578
6678589	5777578
6660173	5779514
6689282	5779514
6739930	5779514
6753643	5779514
6168491	5779514
6062931	5779514
5836799	5779514
5966493	5781675
6165394	5781675
6205280	5781675
6191224	5781675
6268435	5781675
6301426	5781675
6303695	5781675
6335998	5781675
6466729	5781675
6483981	5781675
6489399	5781675
6490391	5781675
6444756	5781675
6374011	5781675
6763153	5781675
6744948	5781675
6785461	5781675
6836334	5781675
6907150	5781675
6891622	5781675
6885786	5781675
6874950	5781675
6869347	5781675
6965721	5781675
6964804	5781675
6681073	5781675
6690857	5781675
6703821	5781675
6707558	5781675
6718097	5781675
6719608	5781675
6714185	5781675
6621951	5781675
6625349	5781675
6516131	5781675
6516114	5781675
6501875	5781675
6563589	5781675
6556746	5781675
6535657	5781675
6535685	5781675
6539134	5781675
6542663	5781675
6542651	5781675
6597833	5781675
6611649	5781675
6621952	5781675
6571035	5781675
6594020	5781675
6527810	5783248
6719989	5783248
6719993	5783248
6776860	5783248
6296667	5783248
6136029	5783248
6140192	5783479
5920783	5783479
6271096	5783479
6268254	5783479
6309933	5783479
6188117	5783479
6174762	5783479
6235598	5783479
6251762	5783479
6359321	5783479
6346449	5783479
6344388	5783479
6461951	5783479
6479403	5783479
6777760	5783479
6806126	5783479
6933620	5783479
6716689	5783479
6630721	5783479
6674139	5783479
6521964	5783479
6506652	5783479
6509618	5783479
6531380	5783479
6538295	5783479
6548403	5783479
6593633	5783479
6504612	5784186
6813050	5784186
6407872	5784186
6341870	5784186
6465815	5786244
6090649	5786244
6309993	5786288
6174829	5786288
6159883	5786288
6184546	5789771
5949096	5789771
5932987	5790971
6823133	5790971
6551650	5795619
6637638	5795619
6153503	5795619
6107122	5795619
6228689	5795619
6309954	5795619
6335626	5795619
6372624	5795619
6207609	5795837
6274177	5804603
6263234	5804813
6310686	5804813
6195202	5804813
6403332	5804813
6483581	5804813
6423960	5804813
6043932	5804813
6643071	5804813
6674058	5804813
6693945	5804813
6750036	5804813
6833724	5808476
6469533	5808476
6342790	5808476
6049633	5808572
6012160	5808572
6864813	5808572
6917651	5808572
6869347	5809188
6965721	5809188
6744948	5809188
6690857	5809188
6719608	5809188
6625349	5809188
6621951	5809188
6556746	5809188
6535685	5809188
6542663	5809188
6501875	5809188
6516114	5809188
6516131	5809188
6571035	5809188
6621952	5809188
6597833	5809188
6603902	5809188
6011881	5809188
6490391	5809188
6370310	5809188
6238490	5810947
6942935	5810947
6906295	5810947
6601470	5816987
6716146	5816987
5988961	5816987
5997455	5816987
6093790	5817741
6504375	5821344
6680468	5821528
5990731	5821528
6201270	5821528
6295320	5825420
6377627	5825420
6097846	5825420
6114209	5827768
6156613	5827768
6090691	5827768
6001697	5827768
5904569	5827768
6403485	5827768
6444529	5827768
6258677	5827768
6162690	5827768
6162691	5827768
6211026	5827768
6660600	5827768
6649460	5827768
6579770	5827768
6545340	5828077
6031256	5828077
6118136	5828077
6188081	5831297
6321666	5836524
6364225	5836524
5998325	5836524
6706199	5836524
6972085	5836524
6555850	5838030
6133063	5838034
6051324	5842107
6087470	5844065
6093790	5844065
6069278	5844065
6133407	5844065
6037499	5844065
6136234	5846456
6423287	5846508
6482384	5846508
6306739	5846508
6229193	5847437
6087702	5847437
6610999	5847437
6623251	5848845
6880536	5848845
6464435	5848845
6309694	5849045
6800278	5849045
6026427	5853731
6456215	5854374
6376640	5854374
6710155	5854374
6871175	5857000
6965859	5857000
6430529	5857000
6253303	5857000
6199041	5857000
6361901	5863454
6150182	5866071
6072841	5867059
6487505	5867059
6725024	5867059
6639530	5870048
6614285	5870048
6577259	5870048
